group,link
https://rasp.sstu.ru/rasp/group/226,б1-ПБРС-21
https://rasp.sstu.ru/rasp/group/296,б1-ПБРС-31
https://rasp.sstu.ru/rasp/group/361,б2-ПБРС-11
https://rasp.sstu.ru/rasp/group/99,б1-РТХН-21
https://rasp.sstu.ru/rasp/group/100,б1-РТХН-31
https://rasp.sstu.ru/rasp/group/363,б2-РТХН-11
https://rasp.sstu.ru/rasp/group/360,б2-ИФБС-11
https://rasp.sstu.ru/rasp/group/186,б2-ИФБС-21
https://rasp.sstu.ru/rasp/group/106,б2-ИФБС-31
https://rasp.sstu.ru/rasp/group/396,м-ИКТС-11
https://rasp.sstu.ru/rasp/group/198,м-ИФБС-11
https://rasp.sstu.ru/rasp/group/59,м-ПБРС-11
https://rasp.sstu.ru/rasp/group/404,м-УПРК-11
https://rasp.sstu.ru/rasp/group/405,м-УПТС-11
https://rasp.sstu.ru/rasp/group/411,м1-ЭЛНЭ-11
https://rasp.sstu.ru/rasp/group/74,с-ОТС-41
https://rasp.sstu.ru/rasp/group/67,с1-ИБС-41
https://rasp.sstu.ru/rasp/group/166,с1-ИБС-42
https://rasp.sstu.ru/rasp/group/71,с2-ИБС-11
https://rasp.sstu.ru/rasp/group/170,с2-ИБС-12
https://rasp.sstu.ru/rasp/group/72,с2-ИБС-21
https://rasp.sstu.ru/rasp/group/205,с2-ИБС-22
https://rasp.sstu.ru/rasp/group/171,с2-ИБС-31
https://rasp.sstu.ru/rasp/group/275,с2-ИБС-32
https://rasp.sstu.ru/rasp/group/492,м-ИФБСоз-11
https://rasp.sstu.ru/rasp/group/512,м-ИФБСоз-21
https://rasp.sstu.ru/rasp/group/102,б1-ТПЭН-11
https://rasp.sstu.ru/rasp/group/103,б1-ТПЭН-12
https://rasp.sstu.ru/rasp/group/183,б1-ТПЭН-13
https://rasp.sstu.ru/rasp/group/301,б1-ТПЭН-21
https://rasp.sstu.ru/rasp/group/21,б1-ТПЭН-31
https://rasp.sstu.ru/rasp/group/114,б2-ТПЭН-31
https://rasp.sstu.ru/rasp/group/671,б3-ТПЭН-21
https://rasp.sstu.ru/rasp/group/118,б3-ТПЭН-31
https://rasp.sstu.ru/rasp/group/305,б1-ЭЛЭТ-11
https://rasp.sstu.ru/rasp/group/306,б1-ЭЛЭТ-12
https://rasp.sstu.ru/rasp/group/22,б1-ЭЛЭТ-21
https://rasp.sstu.ru/rasp/group/23,б1-ЭЛЭТ-31
https://rasp.sstu.ru/rasp/group/382,б2-ЭЛЭТ-21
https://rasp.sstu.ru/rasp/group/315,б2-ЭЛЭТ-31
https://rasp.sstu.ru/rasp/group/200,м-ЭЛЭТ-11
https://rasp.sstu.ru/rasp/group/53,м1-ТПЭН-11
https://rasp.sstu.ru/rasp/group/156,м3-ТПЭН-11
https://rasp.sstu.ru/rasp/group/73,с-АЭС-11
https://rasp.sstu.ru/rasp/group/349,с-АЭС-21
https://rasp.sstu.ru/rasp/group/276,с-АЭС-31
https://rasp.sstu.ru/rasp/group/277,с-АЭС-41
https://rasp.sstu.ru/rasp/group/379,с-АЭС-51
https://rasp.sstu.ru/rasp/group/553,м-ЭЛЭТз-21
https://rasp.sstu.ru/rasp/group/539,м1-ТПЭНз-21
https://rasp.sstu.ru/rasp/group/540,м3-ТПЭНз-21
https://rasp.sstu.ru/rasp/group/511,б-ГИМУоз-21
https://rasp.sstu.ru/rasp/group/432,б1-МЕНЖоз-11
https://rasp.sstu.ru/rasp/group/497,б1-МЕНЖоз-21
https://rasp.sstu.ru/rasp/group/514,б1-МЕНЖоз-31
https://rasp.sstu.ru/rasp/group/502,б1-УППРоз-21
https://rasp.sstu.ru/rasp/group/517,б1-УППРоз-31
https://rasp.sstu.ru/rasp/group/482,б2-УППРоз-11
https://rasp.sstu.ru/rasp/group/481,б2-ПСХЛоз-11
https://rasp.sstu.ru/rasp/group/518,б2-ПСХЛоз-21
https://rasp.sstu.ru/rasp/group/515,б2-ПСХЛоз-31
https://rasp.sstu.ru/rasp/group/445,б4-ЭКОНоз-11
https://rasp.sstu.ru/rasp/group/522,б4-ЭКОНоз-21
https://rasp.sstu.ru/rasp/group/523,б4-ЭКОНоз-22
https://rasp.sstu.ru/rasp/group/507,б4-ЭКОНоз-31
https://rasp.sstu.ru/rasp/group/466,м-МЕНЖоз-11
https://rasp.sstu.ru/rasp/group/467,м-ПСХЛоз-11
https://rasp.sstu.ru/rasp/group/513,м-ПСХЛоз-21
https://rasp.sstu.ru/rasp/group/455,м2-ГИМУоз-11
https://rasp.sstu.ru/rasp/group/127,б-ДОКМ-11
https://rasp.sstu.ru/rasp/group/37,б-ДОКМ-21
https://rasp.sstu.ru/rasp/group/128,б-ДОКМ-31
https://rasp.sstu.ru/rasp/group/257,б-СОЦР-11
https://rasp.sstu.ru/rasp/group/258,б-СОЦР-21
https://rasp.sstu.ru/rasp/group/371,б-СОЦР-31
https://rasp.sstu.ru/rasp/group/263,б-ТОРГ-21
https://rasp.sstu.ru/rasp/group/142,б-ТОРГ-31
https://rasp.sstu.ru/rasp/group/191,б-ТУРМ-11
https://rasp.sstu.ru/rasp/group/264,б-ТУРМ-31
https://rasp.sstu.ru/rasp/group/93,б1-МЕНЖ-11
https://rasp.sstu.ru/rasp/group/292,б1-МЕНЖ-21
https://rasp.sstu.ru/rasp/group/293,б1-МЕНЖ-31
https://rasp.sstu.ru/rasp/group/227,б1-СРВС-21
https://rasp.sstu.ru/rasp/group/297,б1-СРВС-31
https://rasp.sstu.ru/rasp/group/241,б3-СРВС-11
https://rasp.sstu.ru/rasp/group/104,б1-ЭКОН-41
https://rasp.sstu.ru/rasp/group/365,б2-ЭКОН-21
https://rasp.sstu.ru/rasp/group/117,б2-ЭКОН-31
https://rasp.sstu.ru/rasp/group/119,б3-ЭКОН-31
https://rasp.sstu.ru/rasp/group/323,б4-ЭКОН-11
https://rasp.sstu.ru/rasp/group/324,б4-ЭКОН-12
https://rasp.sstu.ru/rasp/group/325,б4-ЭКОН-13
https://rasp.sstu.ru/rasp/group/366,б4-ЭКОН-21
https://rasp.sstu.ru/rasp/group/120,б4-ЭКОН-31
https://rasp.sstu.ru/rasp/group/121,б4-ЭКОН-32
https://rasp.sstu.ru/rasp/group/367,б6-ЭКОН-21
https://rasp.sstu.ru/rasp/group/311,б2-ПСХЛ-11
https://rasp.sstu.ru/rasp/group/422,б2-ПСХЛ-12
https://rasp.sstu.ru/rasp/group/237,б2-ПСХЛ-21
https://rasp.sstu.ru/rasp/group/362,б2-ПСХЛ-31
https://rasp.sstu.ru/rasp/group/388,м-ПСХЛ-11
https://rasp.sstu.ru/rasp/group/407,м1-ФНКР-11
https://rasp.sstu.ru/rasp/group/409,м1-ЭКОН-11
https://rasp.sstu.ru/rasp/group/155,м2-ТУРМ-11
https://rasp.sstu.ru/rasp/group/351,с-ПНБ-31
https://rasp.sstu.ru/rasp/group/281,с-ПРП-11
https://rasp.sstu.ru/rasp/group/421,с-ПРП-12
https://rasp.sstu.ru/rasp/group/380,с-ПРП-21
https://rasp.sstu.ru/rasp/group/381,с-ПРП-22
https://rasp.sstu.ru/rasp/group/352,с-ПРП-31
https://rasp.sstu.ru/rasp/group/353,с-ПРП-41
https://rasp.sstu.ru/rasp/group/267,с1-ТЖД-11
https://rasp.sstu.ru/rasp/group/202,с1-ТЖД-12
https://rasp.sstu.ru/rasp/group/167,с1-ТЖД-13
https://rasp.sstu.ru/rasp/group/268,с1-ТЖД-14
https://rasp.sstu.ru/rasp/group/338,с1-ТЖД-21
https://rasp.sstu.ru/rasp/group/339,с1-ТЖД-22
https://rasp.sstu.ru/rasp/group/270,с1-ТЖД-23
